"Neighborhoods","Listing_sum","Average_price","Percentage_home_apt","Percentage_hotel_room","Percentage_private_room","Percentage_shared_room"
"Bijlmer-Centrum",46,169.454545454545,0.636363636363636,0,0.363636363636364,0
"Bijlmer-Oost",23,128.052631578947,0.578947368421053,0,0.421052631578947,0
"Bos en Lommer",346,136.923387096774,0.838709677419355,0.00403225806451613,0.153225806451613,0.00403225806451613
"Buitenveldert - Zuidas",110,127.142857142857,0.660714285714286,0,0.339285714285714,0
"Centrum-Oost",2111,202.744336569579,0.56957928802589,0.0129449838187702,0.41747572815534,0
"Centrum-West",2464,183.225287356322,0.501149425287356,0.0206896551724138,0.471264367816092,0.00689655172413793
"De Aker - Nieuw Sloten",104,144.2,0.38,0,0.6,0.02
"De Baarsjes - Oud-West",1571,161.494396014944,0.777085927770859,0.0149439601494396,0.206724782067248,0.0012453300124533
"De Pijp - Rivierenbuurt",908,177.309222423146,0.734177215189873,0.00723327305605787,0.25497287522604,0.00361663652802893
"Gaasperdam - Driemond",87,97.6590909090909,0.431818181818182,0.113636363636364,0.454545454545455,0
"Geuzenveld - Slotermeer",210,127,0.55421686746988,0,0.433734939759036,0.0120481927710843
"IJburg - Zeeburgereiland",300,178.49375,0.63125,0.00625,0.3625,0
"Noord-Oost",254,138.569892473118,0.537634408602151,0,0.462365591397849,0
"Noord-West",221,128.963235294118,0.676470588235294,0.0147058823529412,0.301470588235294,0.00735294117647059
"Oostelijk Havengebied - Indische Buurt",265,142.39512195122,0.697560975609756,0,0.297560975609756,0.0048780487804878
"Osdorp",61,124.222222222222,0.611111111111111,0,0.388888888888889,0
"Oud-Noord",727,180.258964143426,0.613545816733068,0.0557768924302789,0.322709163346614,0.00796812749003984
"Oud-Oost",491,156.460063897764,0.76038338658147,0.0191693290734824,0.210862619808307,0.00958466453674121
"Slotervaart",200,110.683168316832,0.534653465346535,0.0297029702970297,0.435643564356436,0
"Watergraafsmeer",288,164.795918367347,0.72108843537415,0,0.27891156462585,0
"Westerpark",647,161.811320754717,0.819407008086253,0.00808625336927224,0.169811320754717,0.00269541778975741
"Zuid",684,187.292349726776,0.704918032786885,0.0273224043715847,0.265027322404372,0.00273224043715847
